Scenario,Label,nV,nCl,nTabs,nTlag,nBaseline,nTeq,nEC50
,Omega,,,,,,,
,nV,0.018149521,,,,,,
,nCl,0,0.070469466,,,,,
,nTabs,0,0,0.37963495,,,,
,nTlag,0,0,0,0.47527502,,,
,nBaseline,0,0,0,0,0.0019789489,,
,nTeq,0,0,0,0,0,0.013822067,
,nEC50,0,0,0,0,0,0,0.13725865
,Correlation,,,,,,,
,nV,1,,,,,,
,nCl,0,1,,,,,
,nTabs,0,0,1,,,,
,nTlag,0,0,0,1,,,
,nBaseline,0,0,0,0,1,,
,nTeq,0,0,0,0,0,1,
,nEC50,0,0,0,0,0,0,1
,Shrinkage,0.0676413215965938,0.0563081993704706,0.435975356037895,0.662365345860872,0.252128056697359,0.237418818992877,0.0895550241318964
