Scenario,Strat1,Strat2,Strat3,t,DV0,DV,ObsName,QI,QE
,0,0,0,0,87.4922,,EObs,05%,--
,0,0,0,24,26.6918,,EObs,05%,--
,0,0,0,36,13.7464,,EObs,05%,--
,0,0,0,48,11.0033,,EObs,05%,--
,0,0,0,72,8.89448,,EObs,05%,--
,0,0,0,96,9.34584,,EObs,05%,--
,0,0,0,120,10.8986,,EObs,05%,--
,0,0,0,144,20.562,,EObs,05%,--
,0,0,0,0,,81.7663,EObs,05%,2.5%
,0,0,0,24,,21.2818,EObs,05%,2.5%
,0,0,0,36,,11.0635,EObs,05%,2.5%
,0,0,0,48,,6.5041,EObs,05%,2.5%
,0,0,0,72,,4.12553,EObs,05%,2.5%
,0,0,0,96,,5.32606,EObs,05%,2.5%
,0,0,0,120,,7.62711,EObs,05%,2.5%
,0,0,0,144,,8.71715,EObs,05%,2.5%
,0,0,0,0,,85.8297,EObs,05%,50%
,0,0,0,24,,25.9399,EObs,05%,50%
,0,0,0,36,,15.2723,EObs,05%,50%
,0,0,0,48,,10.5682,EObs,05%,50%
,0,0,0,72,,8.56674,EObs,05%,50%
,0,0,0,96,,10.4905,EObs,05%,50%
,0,0,0,120,,13.5925,EObs,05%,50%
,0,0,0,144,,19.1782,EObs,05%,50%
,0,0,0,0,,89.4973,EObs,05%,97.5%
,0,0,0,24,,29.71,EObs,05%,97.5%
,0,0,0,36,,18.8291,EObs,05%,97.5%
,0,0,0,48,,14.0679,EObs,05%,97.5%
,0,0,0,72,,12.9631,EObs,05%,97.5%
,0,0,0,96,,15.0463,EObs,05%,97.5%
,0,0,0,120,,19.1089,EObs,05%,97.5%
,0,0,0,144,,29.8942,EObs,05%,97.5%
,0,0,0,0,96.402,,EObs,50%,--
,0,0,0,24,36.7065,,EObs,50%,--
,0,0,0,36,25.163,,EObs,50%,--
,0,0,0,48,20.5195,,EObs,50%,--
,0,0,0,72,20.521,,EObs,50%,--
,0,0,0,96,25.415,,EObs,50%,--
,0,0,0,120,28.634,,EObs,50%,--
,0,0,0,144,42.995,,EObs,50%,--
,0,0,0,0,,93.2505,EObs,50%,2.5%
,0,0,0,24,,33.7631,EObs,50%,2.5%
,0,0,0,36,,22.7254,EObs,50%,2.5%
,0,0,0,48,,18.0682,EObs,50%,2.5%
,0,0,0,72,,16.5693,EObs,50%,2.5%
,0,0,0,96,,20.2245,EObs,50%,2.5%
,0,0,0,120,,25.5638,EObs,50%,2.5%
,0,0,0,144,,29.8398,EObs,50%,2.5%
,0,0,0,0,,95.8311,EObs,50%,50%
,0,0,0,24,,36.4818,EObs,50%,50%
,0,0,0,36,,25.3342,EObs,50%,50%
,0,0,0,48,,20.4462,EObs,50%,50%
,0,0,0,72,,19.487,EObs,50%,50%
,0,0,0,96,,23.9034,EObs,50%,50%
,0,0,0,120,,30.7594,EObs,50%,50%
,0,0,0,144,,39.4761,EObs,50%,50%
,0,0,0,0,,98.4253,EObs,50%,97.5%
,0,0,0,24,,39.114,EObs,50%,97.5%
,0,0,0,36,,28.0092,EObs,50%,97.5%
,0,0,0,48,,22.8234,EObs,50%,97.5%
,0,0,0,72,,22.6108,EObs,50%,97.5%
,0,0,0,96,,28.4736,EObs,50%,97.5%
,0,0,0,120,,36.463,EObs,50%,97.5%
,0,0,0,144,,49.9869,EObs,50%,97.5%
,0,0,0,0,106.082,,EObs,95%,--
,0,0,0,24,47.6053,,EObs,95%,--
,0,0,0,36,39.4686,,EObs,95%,--
,0,0,0,48,35.2772,,EObs,95%,--
,0,0,0,72,42.6506,,EObs,95%,--
,0,0,0,96,54.2128,,EObs,95%,--
,0,0,0,120,70.5716,,EObs,95%,--
,0,0,0,144,75.991,,EObs,95%,--
,0,0,0,0,,101.976,EObs,95%,2.5%
,0,0,0,24,,43.2592,EObs,95%,2.5%
,0,0,0,36,,32.2603,EObs,95%,2.5%
,0,0,0,48,,27.6635,EObs,95%,2.5%
,0,0,0,72,,28.6523,EObs,95%,2.5%
,0,0,0,96,,35.6211,EObs,95%,2.5%
,0,0,0,120,,46.4825,EObs,95%,2.5%
,0,0,0,144,,50.6308,EObs,95%,2.5%
,0,0,0,0,,106.128,EObs,95%,50%
,0,0,0,24,,47.8012,EObs,95%,50%
,0,0,0,36,,36.7561,EObs,95%,50%
,0,0,0,48,,32.2427,EObs,95%,50%
,0,0,0,72,,35.2326,EObs,95%,50%
,0,0,0,96,,45.5865,EObs,95%,50%
,0,0,0,120,,58.3784,EObs,95%,50%
,0,0,0,144,,68.3379,EObs,95%,50%
,0,0,0,0,,110.905,EObs,95%,97.5%
,0,0,0,24,,52.9397,EObs,95%,97.5%
,0,0,0,36,,41.9719,EObs,95%,97.5%
,0,0,0,48,,38.6454,EObs,95%,97.5%
,0,0,0,72,,44.7756,EObs,95%,97.5%
,0,0,0,96,,58.7871,EObs,95%,97.5%
,0,0,0,120,,73.1671,EObs,95%,97.5%
,0,0,0,144,,89.072,EObs,95%,97.5%
,0,0,0,0.5,0.4558,,CObs,05%,--
,0,0,0,1,0.062565,,CObs,05%,--
,0,0,0,1.5,0.061036,,CObs,05%,--
,0,0,0,2,3.6674,,CObs,05%,--
,0,0,0,3,5.213,,CObs,05%,--
,0,0,0,6,8.5575,,CObs,05%,--
,0,0,0,9,8.94,,CObs,05%,--
,0,0,0,12,9.4978,,CObs,05%,--
,0,0,0,24,6.7757,,CObs,05%,--
,0,0,0,36,4.51009,,CObs,05%,--
,0,0,0,48,3.61071,,CObs,05%,--
,0,0,0,72,1.9326,,CObs,05%,--
,0,0,0,96,1.11742,,CObs,05%,--
,0,0,0,120,0.59172,,CObs,05%,--
,0,0,0,0.5,,-2.03803,CObs,05%,2.5%
,0,0,0,1,,-2.03798,CObs,05%,2.5%
,0,0,0,1.5,,-1.43714,CObs,05%,2.5%
,0,0,0,2,,-1.44322,CObs,05%,2.5%
,0,0,0,3,,-1.32661,CObs,05%,2.5%
,0,0,0,6,,1.18652,CObs,05%,2.5%
,0,0,0,9,,4.02928,CObs,05%,2.5%
,0,0,0,12,,4.34053,CObs,05%,2.5%
,0,0,0,24,,3.86162,CObs,05%,2.5%
,0,0,0,36,,1.03062,CObs,05%,2.5%
,0,0,0,48,,0.864883,CObs,05%,2.5%
,0,0,0,72,,0.0444617,CObs,05%,2.5%
,0,0,0,96,,-0.949819,CObs,05%,2.5%
,0,0,0,120,,-1.59157,CObs,05%,2.5%
,0,0,0,0.5,,-0.346398,CObs,05%,50%
,0,0,0,1,,-0.359685,CObs,05%,50%
,0,0,0,1.5,,1.4162,CObs,05%,50%
,0,0,0,2,,1.74135,CObs,05%,50%
,0,0,0,3,,2.1908,CObs,05%,50%
,0,0,0,6,,5.9173,CObs,05%,50%
,0,0,0,9,,7.14173,CObs,05%,50%
,0,0,0,12,,7.27604,CObs,05%,50%
,0,0,0,24,,5.28764,CObs,05%,50%
,0,0,0,36,,2.32066,CObs,05%,50%
,0,0,0,48,,2.01311,CObs,05%,50%
,0,0,0,72,,1.17357,CObs,05%,50%
,0,0,0,96,,0.215534,CObs,05%,50%
,0,0,0,120,,-0.471316,CObs,05%,50%
,0,0,0,0.5,,1.48796,CObs,05%,97.5%
,0,0,0,1,,1.98923,CObs,05%,97.5%
,0,0,0,1.5,,7.13708,CObs,05%,97.5%
,0,0,0,2,,6.8782,CObs,05%,97.5%
,0,0,0,3,,5.63112,CObs,05%,97.5%
,0,0,0,6,,8.68657,CObs,05%,97.5%
,0,0,0,9,,9.71252,CObs,05%,97.5%
,0,0,0,12,,9.77722,CObs,05%,97.5%
,0,0,0,24,,6.62527,CObs,05%,97.5%
,0,0,0,36,,3.25129,CObs,05%,97.5%
,0,0,0,48,,2.88988,CObs,05%,97.5%
,0,0,0,72,,2.16253,CObs,05%,97.5%
,0,0,0,96,,1.1904,CObs,05%,97.5%
,0,0,0,120,,0.212801,CObs,05%,97.5%
,0,0,0,0.5,0.478425,,CObs,50%,--
,0,0,0,1,0.49831,,CObs,50%,--
,0,0,0,1.5,1.90362,,CObs,50%,--
,0,0,0,2,5.30565,,CObs,50%,--
,0,0,0,3,8.19395,,CObs,50%,--
,0,0,0,6,10.672,,CObs,50%,--
,0,0,0,9,11.0515,,CObs,50%,--
,0,0,0,12,10.7745,,CObs,50%,--
,0,0,0,24,9.25535,,CObs,50%,--
,0,0,0,36,7.4216,,CObs,50%,--
,0,0,0,48,6.26685,,CObs,50%,--
,0,0,0,72,4.55925,,CObs,50%,--
,0,0,0,96,3.2742,,CObs,50%,--
,0,0,0,120,2.0088,,CObs,50%,--
,0,0,0,0.5,,-1.25393,CObs,50%,2.5%
,0,0,0,1,,-0.513377,CObs,50%,2.5%
,0,0,0,1.5,,0.032383,CObs,50%,2.5%
,0,0,0,2,,1.52192,CObs,50%,2.5%
,0,0,0,3,,5.53121,CObs,50%,2.5%
,0,0,0,6,,8.69399,CObs,50%,2.5%
,0,0,0,9,,8.92169,CObs,50%,2.5%
,0,0,0,12,,8.66723,CObs,50%,2.5%
,0,0,0,24,,8.12646,CObs,50%,2.5%
,0,0,0,36,,6.5173,CObs,50%,2.5%
,0,0,0,48,,5.25963,CObs,50%,2.5%
,0,0,0,72,,3.31748,CObs,50%,2.5%
,0,0,0,96,,2.13863,CObs,50%,2.5%
,0,0,0,120,,1.28002,CObs,50%,2.5%
,0,0,0,0.5,,0.259903,CObs,50%,50%
,0,0,0,1,,1.49615,CObs,50%,50%
,0,0,0,1.5,,3.32014,CObs,50%,50%
,0,0,0,2,,5.47536,CObs,50%,50%
,0,0,0,3,,7.91811,CObs,50%,50%
,0,0,0,6,,10.5934,CObs,50%,50%
,0,0,0,9,,10.9175,CObs,50%,50%
,0,0,0,12,,10.7362,CObs,50%,50%
,0,0,0,24,,9.05722,CObs,50%,50%
,0,0,0,36,,7.39338,CObs,50%,50%
,0,0,0,48,,6.05008,CObs,50%,50%
,0,0,0,72,,4.0989,CObs,50%,50%
,0,0,0,96,,2.85975,CObs,50%,50%
,0,0,0,120,,1.90366,CObs,50%,50%
,0,0,0,0.5,,2.2067,CObs,50%,97.5%
,0,0,0,1,,4.58279,CObs,50%,97.5%
,0,0,0,1.5,,8.70652,CObs,50%,97.5%
,0,0,0,2,,9.94753,CObs,50%,97.5%
,0,0,0,3,,10.4116,CObs,50%,97.5%
,0,0,0,6,,12.7009,CObs,50%,97.5%
,0,0,0,9,,12.8223,CObs,50%,97.5%
,0,0,0,12,,12.7398,CObs,50%,97.5%
,0,0,0,24,,10.0554,CObs,50%,97.5%
,0,0,0,36,,8.32248,CObs,50%,97.5%
,0,0,0,48,,6.90194,CObs,50%,97.5%
,0,0,0,72,,4.85966,CObs,50%,97.5%
,0,0,0,96,,3.56125,CObs,50%,97.5%
,0,0,0,120,,2.54022,CObs,50%,97.5%
,0,0,0,0.5,0.50105,,CObs,95%,--
,0,0,0,1,3.9209,,CObs,95%,--
,0,0,0,1.5,3.7462,,CObs,95%,--
,0,0,0,2,11.78,,CObs,95%,--
,0,0,0,3,12.109,,CObs,95%,--
,0,0,0,6,14.501,,CObs,95%,--
,0,0,0,9,13.227,,CObs,95%,--
,0,0,0,12,13.235,,CObs,95%,--
,0,0,0,24,11.7226,,CObs,95%,--
,0,0,0,36,10.4091,,CObs,95%,--
,0,0,0,48,8.38728,,CObs,95%,--
,0,0,0,72,6.02524,,CObs,95%,--
,0,0,0,96,5.54534,,CObs,95%,--
,0,0,0,120,3.5622,,CObs,95%,--
,0,0,0,0.5,,-0.864987,CObs,95%,2.5%
,0,0,0,1,,0.732872,CObs,95%,2.5%
,0,0,0,1.5,,0.598318,CObs,95%,2.5%
,0,0,0,2,,4.63489,CObs,95%,2.5%
,0,0,0,3,,10.036,CObs,95%,2.5%
,0,0,0,6,,12.6959,CObs,95%,2.5%
,0,0,0,9,,12.2245,CObs,95%,2.5%
,0,0,0,12,,11.6953,CObs,95%,2.5%
,0,0,0,24,,14.9391,CObs,95%,2.5%
,0,0,0,36,,39.089,CObs,95%,2.5%
,0,0,0,48,,9.77557,CObs,95%,2.5%
,0,0,0,72,,6.43663,CObs,95%,2.5%
,0,0,0,96,,4.99262,CObs,95%,2.5%
,0,0,0,120,,3.87793,CObs,95%,2.5%
,0,0,0,0.5,,0.820543,CObs,95%,50%
,0,0,0,1,,4.52616,CObs,95%,50%
,0,0,0,1.5,,5.07807,CObs,95%,50%
,0,0,0,2,,9.53805,CObs,95%,50%
,0,0,0,3,,13.8811,CObs,95%,50%
,0,0,0,6,,15.7399,CObs,95%,50%
,0,0,0,9,,15.3789,CObs,95%,50%
,0,0,0,12,,14.5324,CObs,95%,50%
,0,0,0,24,,20.2881,CObs,95%,50%
,0,0,0,36,,72.7013,CObs,95%,50%
,0,0,0,48,,13.6839,CObs,95%,50%
,0,0,0,72,,8.4681,CObs,95%,50%
,0,0,0,96,,6.68286,CObs,95%,50%
,0,0,0,120,,5.59497,CObs,95%,50%
,0,0,0,0.5,,3.61046,CObs,95%,97.5%
,0,0,0,1,,10.3645,CObs,95%,97.5%
,0,0,0,1.5,,11.9598,CObs,95%,97.5%
,0,0,0,2,,15.8594,CObs,95%,97.5%
,0,0,0,3,,18.7111,CObs,95%,97.5%
,0,0,0,6,,20.3652,CObs,95%,97.5%
,0,0,0,9,,19.6473,CObs,95%,97.5%
,0,0,0,12,,19.2147,CObs,95%,97.5%
,0,0,0,24,,26.4026,CObs,95%,97.5%
,0,0,0,36,,111.212,CObs,95%,97.5%
,0,0,0,48,,18.4727,CObs,95%,97.5%
,0,0,0,72,,11.644,CObs,95%,97.5%
,0,0,0,96,,9.5302,CObs,95%,97.5%
,0,0,0,120,,9.90323,CObs,95%,97.5%
