Scenario,Label,nV,nCl,nTabs,nTlag,nEC50,nEmax,nE0
,Omega,,,,,,,
,nV,0.018407115,,,,,,
,nCl,0,0.066803147,,,,,
,nTabs,0,0,0.34854428,,,,
,nTlag,0,0,0,0.12373596,,,
,nEC50,0,0,0,0,0.92426416,,
,nEmax,0,0,0,0,0,0.00086618868,
,nE0,0,0,0,0,0,0,0.00031769893
,Correlation,,,,,,,
,nV,1,,,,,,
,nCl,0,1,,,,,
,nTabs,0,0,1,,,,
,nTlag,0,0,0,1,,,
,nEC50,0,0,0,0,1,,
,nEmax,0,0,0,0,0,1,
,nE0,0,0,0,0,0,0,1
,Shrinkage,0.119659519620947,0.0133192732836568,0.426041683639518,0.577477010215106,0.268784902731588,0.574978214668983,0.610016123568302
