Scenario,Label,nV,nCl,nTabs,nTlag,nEC50,nTeq,nE0
,Omega,,,,,,,
,nV,0.018278189,,,,,,
,nCl,-0.00088182397,0.068030284,,,,,
,nTabs,-0.019485266,0.028662688,0.39191603,,,,
,nTlag,0.036561747,0.0095420672,-0.1535196,0.27055138,,,
,nEC50,0,0,0,0,0.051651897,,
,nTeq,0,0,0,0,-0.047631051,0.058183271,
,nE0,0,0,0,0,-0.0018663751,-0.0014126802,0.001867509
,Correlation,,,,,,,
,nV,1,,,,,,
,nCl,-0.0250071486639771,1,,,,,
,nTabs,-0.230220102756644,0.175537238032302,1,,,,
,nTlag,0.519918750819779,0.0703341838024768,-0.471457381557123,1,,,
,nEC50,0,0,0,0,1,,
,nTeq,0,0,0,0,-0.868856310563881,1,
,nE0,0,0,0,0,-0.190030994793352,-0.135523135125838,1
,Shrinkage,0.20356414541804,0.0462459098056529,0.152837749685423,0.393288777903864,0.129699794360415,0.145342018257935,0.265702623343967
