Scenario,Strat1,Strat2,Strat3,t,DV0,DV,ObsName,QI,QE
,0,0,0,0,87.4922,,EObs,05%,--
,0,0,0,24,26.6918,,EObs,05%,--
,0,0,0,36,13.7464,,EObs,05%,--
,0,0,0,48,11.0033,,EObs,05%,--
,0,0,0,72,8.89448,,EObs,05%,--
,0,0,0,96,9.34584,,EObs,05%,--
,0,0,0,120,10.8986,,EObs,05%,--
,0,0,0,144,20.562,,EObs,05%,--
,0,0,0,0,,81.3386,EObs,05%,2.5%
,0,0,0,24,,16.2109,EObs,05%,2.5%
,0,0,0,36,,6.70235,EObs,05%,2.5%
,0,0,0,48,,1.84434,EObs,05%,2.5%
,0,0,0,72,,-1.48951,EObs,05%,2.5%
,0,0,0,96,,-1.87325,EObs,05%,2.5%
,0,0,0,120,,0.562048,EObs,05%,2.5%
,0,0,0,144,,0.917528,EObs,05%,2.5%
,0,0,0,0,,86.0273,EObs,05%,50%
,0,0,0,24,,22.0846,EObs,05%,50%
,0,0,0,36,,12.5587,EObs,05%,50%
,0,0,0,48,,7.53078,EObs,05%,50%
,0,0,0,72,,4.52858,EObs,05%,50%
,0,0,0,96,,5.7754,EObs,05%,50%
,0,0,0,120,,9.25259,EObs,05%,50%
,0,0,0,144,,16.6463,EObs,05%,50%
,0,0,0,0,,90.0203,EObs,05%,97.5%
,0,0,0,24,,26.5579,EObs,05%,97.5%
,0,0,0,36,,17.0086,EObs,05%,97.5%
,0,0,0,48,,12.5456,EObs,05%,97.5%
,0,0,0,72,,10.4724,EObs,05%,97.5%
,0,0,0,96,,12.8473,EObs,05%,97.5%
,0,0,0,120,,17.3539,EObs,05%,97.5%
,0,0,0,144,,30.2378,EObs,05%,97.5%
,0,0,0,0,96.402,,EObs,50%,--
,0,0,0,24,36.7065,,EObs,50%,--
,0,0,0,36,25.163,,EObs,50%,--
,0,0,0,48,20.5195,,EObs,50%,--
,0,0,0,72,20.521,,EObs,50%,--
,0,0,0,96,25.415,,EObs,50%,--
,0,0,0,120,28.634,,EObs,50%,--
,0,0,0,144,42.995,,EObs,50%,--
,0,0,0,0,,93.6951,EObs,50%,2.5%
,0,0,0,24,,31.5619,EObs,50%,2.5%
,0,0,0,36,,22.1482,EObs,50%,2.5%
,0,0,0,48,,17.931,EObs,50%,2.5%
,0,0,0,72,,16.4081,EObs,50%,2.5%
,0,0,0,96,,19.7648,EObs,50%,2.5%
,0,0,0,120,,25.7435,EObs,50%,2.5%
,0,0,0,144,,28.9037,EObs,50%,2.5%
,0,0,0,0,,96.1239,EObs,50%,50%
,0,0,0,24,,34.7977,EObs,50%,50%
,0,0,0,36,,25.2243,EObs,50%,50%
,0,0,0,48,,21.2562,EObs,50%,50%
,0,0,0,72,,20.532,EObs,50%,50%
,0,0,0,96,,24.5309,EObs,50%,50%
,0,0,0,120,,31.2038,EObs,50%,50%
,0,0,0,144,,39.5719,EObs,50%,50%
,0,0,0,0,,98.5934,EObs,50%,97.5%
,0,0,0,24,,38.3223,EObs,50%,97.5%
,0,0,0,36,,28.5904,EObs,50%,97.5%
,0,0,0,48,,24.574,EObs,50%,97.5%
,0,0,0,72,,24.7478,EObs,50%,97.5%
,0,0,0,96,,29.7849,EObs,50%,97.5%
,0,0,0,120,,37.2668,EObs,50%,97.5%
,0,0,0,144,,50.2108,EObs,50%,97.5%
,0,0,0,0,106.082,,EObs,95%,--
,0,0,0,24,47.6053,,EObs,95%,--
,0,0,0,36,39.4686,,EObs,95%,--
,0,0,0,48,35.2772,,EObs,95%,--
,0,0,0,72,42.6506,,EObs,95%,--
,0,0,0,96,54.2128,,EObs,95%,--
,0,0,0,120,70.5716,,EObs,95%,--
,0,0,0,144,75.991,,EObs,95%,--
,0,0,0,0,,102.293,EObs,95%,2.5%
,0,0,0,24,,42.7166,EObs,95%,2.5%
,0,0,0,36,,33.7552,EObs,95%,2.5%
,0,0,0,48,,30.1194,EObs,95%,2.5%
,0,0,0,72,,31.5179,EObs,95%,2.5%
,0,0,0,96,,38.1992,EObs,95%,2.5%
,0,0,0,120,,47.0542,EObs,95%,2.5%
,0,0,0,144,,50.6112,EObs,95%,2.5%
,0,0,0,0,,106.421,EObs,95%,50%
,0,0,0,24,,47.8026,EObs,95%,50%
,0,0,0,36,,38.5385,EObs,95%,50%
,0,0,0,48,,35.5486,EObs,95%,50%
,0,0,0,72,,38.6609,EObs,95%,50%
,0,0,0,96,,46.9615,EObs,95%,50%
,0,0,0,120,,57.1595,EObs,95%,50%
,0,0,0,144,,65.2437,EObs,95%,50%
,0,0,0,0,,111.074,EObs,95%,97.5%
,0,0,0,24,,53.6672,EObs,95%,97.5%
,0,0,0,36,,44.7295,EObs,95%,97.5%
,0,0,0,48,,42.4996,EObs,95%,97.5%
,0,0,0,72,,47.4226,EObs,95%,97.5%
,0,0,0,96,,57.7003,EObs,95%,97.5%
,0,0,0,120,,68.8183,EObs,95%,97.5%
,0,0,0,144,,81.8061,EObs,95%,97.5%
,0,0,0,0.5,0.4558,,CObs,05%,--
,0,0,0,1,0.062565,,CObs,05%,--
,0,0,0,1.5,0.061036,,CObs,05%,--
,0,0,0,2,3.6674,,CObs,05%,--
,0,0,0,3,5.213,,CObs,05%,--
,0,0,0,6,8.5575,,CObs,05%,--
,0,0,0,9,8.94,,CObs,05%,--
,0,0,0,12,9.4978,,CObs,05%,--
,0,0,0,24,6.7757,,CObs,05%,--
,0,0,0,36,4.51009,,CObs,05%,--
,0,0,0,48,3.61071,,CObs,05%,--
,0,0,0,72,1.9326,,CObs,05%,--
,0,0,0,96,1.11742,,CObs,05%,--
,0,0,0,120,0.59172,,CObs,05%,--
,0,0,0,0.5,,-2.26023,CObs,05%,2.5%
,0,0,0,1,,-1.9805,CObs,05%,2.5%
,0,0,0,1.5,,-1.13874,CObs,05%,2.5%
,0,0,0,2,,-0.719741,CObs,05%,2.5%
,0,0,0,3,,0.17041,CObs,05%,2.5%
,0,0,0,6,,3.17803,CObs,05%,2.5%
,0,0,0,9,,3.47389,CObs,05%,2.5%
,0,0,0,12,,3.9556,CObs,05%,2.5%
,0,0,0,24,,3.29522,CObs,05%,2.5%
,0,0,0,36,,2.34083,CObs,05%,2.5%
,0,0,0,48,,1.41058,CObs,05%,2.5%
,0,0,0,72,,0.0163847,CObs,05%,2.5%
,0,0,0,96,,-0.84331,CObs,05%,2.5%
,0,0,0,120,,-1.4159,CObs,05%,2.5%
,0,0,0,0.5,,-0.439122,CObs,05%,50%
,0,0,0,1,,-0.122059,CObs,05%,50%
,0,0,0,1.5,,2.42083,CObs,05%,50%
,0,0,0,2,,3.05629,CObs,05%,50%
,0,0,0,3,,3.75232,CObs,05%,50%
,0,0,0,6,,6.14845,CObs,05%,50%
,0,0,0,9,,6.89947,CObs,05%,50%
,0,0,0,12,,7.20636,CObs,05%,50%
,0,0,0,24,,5.03448,CObs,05%,50%
,0,0,0,36,,3.87115,CObs,05%,50%
,0,0,0,48,,2.7815,CObs,05%,50%
,0,0,0,72,,1.25235,CObs,05%,50%
,0,0,0,96,,0.207359,CObs,05%,50%
,0,0,0,120,,-0.39503,CObs,05%,50%
,0,0,0,0.5,,1.25138,CObs,05%,97.5%
,0,0,0,1,,2.17508,CObs,05%,97.5%
,0,0,0,1.5,,6.64807,CObs,05%,97.5%
,0,0,0,2,,6.66935,CObs,05%,97.5%
,0,0,0,3,,6.39813,CObs,05%,97.5%
,0,0,0,6,,9.04557,CObs,05%,97.5%
,0,0,0,9,,9.83368,CObs,05%,97.5%
,0,0,0,12,,10.0771,CObs,05%,97.5%
,0,0,0,24,,6.39883,CObs,05%,97.5%
,0,0,0,36,,5.04367,CObs,05%,97.5%
,0,0,0,48,,4.08572,CObs,05%,97.5%
,0,0,0,72,,2.27466,CObs,05%,97.5%
,0,0,0,96,,1.10938,CObs,05%,97.5%
,0,0,0,120,,0.448356,CObs,05%,97.5%
,0,0,0,0.5,0.478425,,CObs,50%,--
,0,0,0,1,0.49831,,CObs,50%,--
,0,0,0,1.5,1.90362,,CObs,50%,--
,0,0,0,2,5.30565,,CObs,50%,--
,0,0,0,3,8.19395,,CObs,50%,--
,0,0,0,6,10.672,,CObs,50%,--
,0,0,0,9,11.0515,,CObs,50%,--
,0,0,0,12,10.7745,,CObs,50%,--
,0,0,0,24,9.25535,,CObs,50%,--
,0,0,0,36,7.4216,,CObs,50%,--
,0,0,0,48,6.26685,,CObs,50%,--
,0,0,0,72,4.55925,,CObs,50%,--
,0,0,0,96,3.2742,,CObs,50%,--
,0,0,0,120,2.0088,,CObs,50%,--
,0,0,0,0.5,,-1.26369,CObs,50%,2.5%
,0,0,0,1,,-0.291278,CObs,50%,2.5%
,0,0,0,1.5,,0.861097,CObs,50%,2.5%
,0,0,0,2,,2.92997,CObs,50%,2.5%
,0,0,0,3,,6.15942,CObs,50%,2.5%
,0,0,0,6,,8.79439,CObs,50%,2.5%
,0,0,0,9,,8.98465,CObs,50%,2.5%
,0,0,0,12,,8.72434,CObs,50%,2.5%
,0,0,0,24,,7.96059,CObs,50%,2.5%
,0,0,0,36,,6.5893,CObs,50%,2.5%
,0,0,0,48,,5.22104,CObs,50%,2.5%
,0,0,0,72,,3.41489,CObs,50%,2.5%
,0,0,0,96,,2.11763,CObs,50%,2.5%
,0,0,0,120,,1.29309,CObs,50%,2.5%
,0,0,0,0.5,,0.132223,CObs,50%,50%
,0,0,0,1,,1.61556,CObs,50%,50%
,0,0,0,1.5,,3.8873,CObs,50%,50%
,0,0,0,2,,5.73192,CObs,50%,50%
,0,0,0,3,,8.33824,CObs,50%,50%
,0,0,0,6,,10.8522,CObs,50%,50%
,0,0,0,9,,11.0755,CObs,50%,50%
,0,0,0,12,,10.7549,CObs,50%,50%
,0,0,0,24,,9.07083,CObs,50%,50%
,0,0,0,36,,7.45955,CObs,50%,50%
,0,0,0,48,,6.1226,CObs,50%,50%
,0,0,0,72,,4.12408,CObs,50%,50%
,0,0,0,96,,2.81335,CObs,50%,50%
,0,0,0,120,,1.98024,CObs,50%,50%
,0,0,0,0.5,,1.82738,CObs,50%,97.5%
,0,0,0,1,,4.15434,CObs,50%,97.5%
,0,0,0,1.5,,8.47682,CObs,50%,97.5%
,0,0,0,2,,9.45425,CObs,50%,97.5%
,0,0,0,3,,10.7972,CObs,50%,97.5%
,0,0,0,6,,12.9624,CObs,50%,97.5%
,0,0,0,9,,13.4479,CObs,50%,97.5%
,0,0,0,12,,13.1432,CObs,50%,97.5%
,0,0,0,24,,10.0858,CObs,50%,97.5%
,0,0,0,36,,8.41271,CObs,50%,97.5%
,0,0,0,48,,7.01192,CObs,50%,97.5%
,0,0,0,72,,4.90405,CObs,50%,97.5%
,0,0,0,96,,3.58946,CObs,50%,97.5%
,0,0,0,120,,2.64113,CObs,50%,97.5%
,0,0,0,0.5,0.50105,,CObs,95%,--
,0,0,0,1,3.9209,,CObs,95%,--
,0,0,0,1.5,3.7462,,CObs,95%,--
,0,0,0,2,11.78,,CObs,95%,--
,0,0,0,3,12.109,,CObs,95%,--
,0,0,0,6,14.501,,CObs,95%,--
,0,0,0,9,13.227,,CObs,95%,--
,0,0,0,12,13.235,,CObs,95%,--
,0,0,0,24,11.7226,,CObs,95%,--
,0,0,0,36,10.4091,,CObs,95%,--
,0,0,0,48,8.38728,,CObs,95%,--
,0,0,0,72,6.02524,,CObs,95%,--
,0,0,0,96,5.54534,,CObs,95%,--
,0,0,0,120,3.5622,,CObs,95%,--
,0,0,0,0.5,,-0.81322,CObs,95%,2.5%
,0,0,0,1,,0.966241,CObs,95%,2.5%
,0,0,0,1.5,,1.57547,CObs,95%,2.5%
,0,0,0,2,,4.78808,CObs,95%,2.5%
,0,0,0,3,,10.7568,CObs,95%,2.5%
,0,0,0,6,,13.0426,CObs,95%,2.5%
,0,0,0,9,,12.6067,CObs,95%,2.5%
,0,0,0,12,,11.964,CObs,95%,2.5%
,0,0,0,24,,11.9116,CObs,95%,2.5%
,0,0,0,36,,10.0012,CObs,95%,2.5%
,0,0,0,48,,8.49358,CObs,95%,2.5%
,0,0,0,72,,6.28646,CObs,95%,2.5%
,0,0,0,96,,4.82651,CObs,95%,2.5%
,0,0,0,120,,3.71521,CObs,95%,2.5%
,0,0,0,0.5,,0.76598,CObs,95%,50%
,0,0,0,1,,3.79014,CObs,95%,50%
,0,0,0,1.5,,5.32053,CObs,95%,50%
,0,0,0,2,,9.2561,CObs,95%,50%
,0,0,0,3,,14.1983,CObs,95%,50%
,0,0,0,6,,16.2983,CObs,95%,50%
,0,0,0,9,,15.7992,CObs,95%,50%
,0,0,0,12,,14.9769,CObs,95%,50%
,0,0,0,24,,13.8102,CObs,95%,50%
,0,0,0,36,,11.6923,CObs,95%,50%
,0,0,0,48,,10.0653,CObs,95%,50%
,0,0,0,72,,7.58438,CObs,95%,50%
,0,0,0,96,,6.01565,CObs,95%,50%
,0,0,0,120,,4.83973,CObs,95%,50%
,0,0,0,0.5,,2.82165,CObs,95%,97.5%
,0,0,0,1,,8.64486,CObs,95%,97.5%
,0,0,0,1.5,,11.7215,CObs,95%,97.5%
,0,0,0,2,,15.5451,CObs,95%,97.5%
,0,0,0,3,,19.6726,CObs,95%,97.5%
,0,0,0,6,,20.9634,CObs,95%,97.5%
,0,0,0,9,,20.57,CObs,95%,97.5%
,0,0,0,12,,19.8604,CObs,95%,97.5%
,0,0,0,24,,16.2404,CObs,95%,97.5%
,0,0,0,36,,13.8579,CObs,95%,97.5%
,0,0,0,48,,12.0707,CObs,95%,97.5%
,0,0,0,72,,9.3775,CObs,95%,97.5%
,0,0,0,96,,7.73056,CObs,95%,97.5%
,0,0,0,120,,6.44108,CObs,95%,97.5%
