"ModelName","ObsName","t","QI","--_DVPLOT","2.5%_DVPLOT","50%_DVPLOT","97.5%_DVPLOT","observed"
"a.Misspecified delay
 Immediate effect","EObs",0,"05%",87.4922,76.4299,82.4184,87.7457,"Observed"
"a.Misspecified delay
 Immediate effect","EObs",0,"50%",96.402,92.5544,96.1732,99.6594,"Observed"
"a.Misspecified delay
 Immediate effect","EObs",0,"95%",106.082,104.568,109.99,116.32,"Observed"
"a.Misspecified delay
 Immediate effect","EObs",24,"05%",26.6918,3.05915,9.75123,14.8232,"Observed"
"a.Misspecified delay
 Immediate effect","EObs",24,"50%",36.7065,20.8619,24.0525,27.6418,"Observed"
"a.Misspecified delay
 Immediate effect","EObs",24,"95%",47.6053,33.4582,39.2161,46.4711,"Observed"
"a.Misspecified delay
 Immediate effect","EObs",36,"05%",13.7464,3.54934,9.85485,15.457,"Observed"
"a.Misspecified delay
 Immediate effect","EObs",36,"50%",25.163,21.2902,24.5563,28.1622,"Observed"
"a.Misspecified delay
 Immediate effect","EObs",36,"95%",39.4686,33.9929,39.7304,47.0978,"Observed"
"a.Misspecified delay
 Immediate effect","EObs",48,"05%",11.0033,3.93884,10.3689,16.2366,"Observed"
"a.Misspecified delay
 Immediate effect","EObs",48,"50%",20.5195,21.4824,25.1391,28.5132,"Observed"
"a.Misspecified delay
 Immediate effect","EObs",48,"95%",35.2772,34.5553,40.7455,49.3587,"Observed"
"a.Misspecified delay
 Immediate effect","EObs",72,"05%",8.89448,4.72794,11.0408,16.9032,"Observed"
"a.Misspecified delay
 Immediate effect","EObs",72,"50%",20.521,22.4408,26.2381,30.2758,"Observed"
"a.Misspecified delay
 Immediate effect","EObs",72,"95%",42.6506,36.1205,43.3208,54.7292,"Observed"
"a.Misspecified delay
 Immediate effect","EObs",96,"05%",9.34584,5.05721,11.9502,17.6204,"Observed"
"a.Misspecified delay
 Immediate effect","EObs",96,"50%",25.415,23.7346,27.5257,32.0264,"Observed"
"a.Misspecified delay
 Immediate effect","EObs",96,"95%",54.2128,39.0783,47.9253,64.4773,"Observed"
"a.Misspecified delay
 Immediate effect","EObs",120,"05%",10.8986,6.12278,13.2013,19.0832,"Observed"
