"Scenario","ID","IVAR","TAD","PRED","IPRED","DV","IRES","PREDSE","Weight","IWRES","WRES","CWRES","PCWRES","CdfPCWRES","CdfDV","TADSeq","ObsName","ResetSeq","ModelName"
NA,0,1,1,1.44878,0.874695,0.86849,-0.00620539,NA,7.15396,-0.00444706,-0.153556,-0.153472,-0.26972,0.393688,0.393688,1,"CObs",0,"d.True model
 Turnover PD"
NA,0,2,2,6.23448,6.68939,6.7703,0.0809113,NA,3.01804,0.0376619,0.279652,0.25482,0.6005,0.725914,0.619601,1,"CObs",0,"d.True model
 Turnover PD"
NA,0,3,3,8.9098,9.71064,9.7448,0.0341583,NA,1.82768,0.0123731,0.159034,0.124676,0.366106,0.642857,0.622924,1,"CObs",0,"d.True model
 Turnover PD"
NA,0,6,6,11.476,12.0241,11.521,-0.503116,NA,1.30525,-0.154009,-0.0858663,-0.130666,0.125242,0.549834,0.589701,1,"CObs",0,"d.True model
 Turnover PD"
NA,0,9,9,11.4966,11.5005,12.785,1.28455,NA,1.40354,0.407749,0.34254,0.257222,0.339518,0.63289,0.679402,1,"CObs",0,"d.True model
 Turnover PD"
NA,0,12,12,11.0497,10.5802,10.524,-0.0562378,NA,1.60259,-0.0190753,-0.228606,-0.349212,-0.438354,0.330565,0.416944,1,"CObs",0,"d.True model
 Turnover PD"
NA,0,24,24,9.07805,7.34023,7.042,-0.298234,NA,2.69462,-0.131171,-0.744208,-0.97942,-0.6929,0.244186,0.240864,1,"CObs",0,"d.True model
 Turnover PD"
NA,0,24,24,35.7396,40.0848,44.021,3.93616,NA,1,1.05464,1.36587,1.37096,1.37402,0.915282,0.862126,1,"EObs",0,"d.True model
 Turnover PD"
NA,0,36,36,7.43922,5.08275,4.5396,-0.543154,NA,4.0166,-0.291664,-1.01441,-1.12863,-1.13634,0.127907,0.11794,1,"CObs",0,"d.True model
 Turnover PD"
NA,0,36,36,24.6663,29.7806,28.248,-1.5326,NA,1,-0.410639,-0.302138,-0.370398,-0.75791,0.224252,0.652824,1,"EObs",0,"d.True model
 Turnover PD"
NA,0,48,48,6.09622,3.51955,3.8498,0.330249,NA,5.25208,0.202786,-0.639823,-0.535855,-0.620568,0.267442,0.16113,1,"CObs",0,"d.True model
 Turnover PD"
NA,0,48,48,19.803,26.3819,25.399,-0.982883,NA,1,-0.26335,0.220718,0.0947678,0.0583267,0.523256,0.769103,1,"EObs",0,"d.True model
 Turnover PD"
NA,0,72,72,4.0938,1.68758,1.3955,-0.292078,NA,6.71799,-0.202838,-0.812908,-0.728187,-0.803083,0.210963,0.11794,1,"CObs",0,"d.True model
 Turnover PD"
NA,0,72,72,19.0393,31.4491,34.93,3.48092,NA,1,0.932663,1.70647,1.1118,1.46523,0.928571,0.951827,1,"EObs",0,"d.True model
 Turnover PD"
NA,0,96,96,23.6221,44.7182,43.193,-1.52518,NA,1,-0.40865,0.474384,-0.275653,0.33071,0.629568,0.928571,1,"EObs",0,"d.True model
 Turnover PD"
NA,0,120,120,30.6978,60.186,58.547,-1.63899,NA,1,-0.439144,0.423643,0.135746,0.561069,0.712625,0.965116,1,"EObs",0,"d.True model
 Turnover PD"
NA,0,144,144,39.2038,73.6575,74.163,0.505489,NA,1,0.135439,0.137903,0.61015,0.610504,0.729236,0.961794,1,"EObs",0,"d.True model
 Turnover PD"
NA,1,0,0,95.8316,97.9473,101.54,3.59267,NA,1,0.962606,1.00748,0.999032,1.01739,0.845515,0.845515,1,"EObs",0,"d.True model
 Turnover PD"
NA,1,24,24,9.07805,6.9864,7.0123,0.0258986,NA,2.86507,0.0117456,-0.717495,-0.797175,-0.651149,0.257475,0.247508,1,"CObs",0,"d.True model
 Turnover PD"
NA,1,24,24,35.7397,34.6385,28.232,-6.40655,NA,1,-1.71654,-1.50398,-1.48443,-1.81342,0.0348837,0.0913621,1,"EObs",0,"d.True model
 Turnover PD"
NA,1,36,36,7.43922,5.36084,4.4553,-0.905538,NA,3.8224,-0.474358,-1.09217,-1.20345,-0.898778,0.184385,0.127907,1,"CObs",0,"d.True model
 Turnover PD"
NA,1,36,36,24.6663,24.2141,25.638,1.4239,NA,1,0.381514,0.944239,0.916699,1.03146,0.848837,0.513289,1,"EObs",0,"d.True model
 Turnover PD"
NA,1,48,48,6.09622,4.1135,4.4846,0.371097,NA,4.75859,0.216899,-0.329606,-0.253897,-0.100099,0.460133,0.290698,1,"CObs",0,"d.True model
 Turnover PD"
NA,1,48,48,19.803,20.3852,26.192,5.80679,NA,1,1.55585,1.55336,1.40765,1.25549,0.895349,0.77907,1,"EObs",0,"d.True model
 Turnover PD"
NA,1,72,72,4.0938,2.42198,2.4061,-0.0158772,NA,6.1729,-0.0105694,-0.23978,-0.173202,0.108472,0.543189,0.254153,1,"CObs",0,"d.True model
 Turnover PD"
NA,1,72,72,19.0393,22.4253,23.984,1.55871,NA,1,0.417635,-0.072464,-0.410194,-0.551348,0.290698,0.646179,1,"EObs",0,"d.True model
 Turnover PD"
NA,1,96,96,2.74912,1.42603,1.1445,-0.281529,NA,6.88197,-0.197884,-0.262601,-0.319994,-0.411013,0.340532,0.250831,1,"CObs",0,"d.True model
 Turnover PD"
NA,1,96,96,23.6221,30.6887,32.785,2.0963,NA,1,0.561674,0.00248267,-0.294513,-0.366106,0.357143,0.712625,1,"EObs",0,"d.True model
 Turnover PD"
NA,1,120,120,1.84612,0.839627,0.621,-0.218627,NA,7.16739,-0.156825,-0.121479,-0.247603,-0.429205,0.333887,0.260797,1,"CObs",0,"d.True model
 Turnover PD"
NA,1,120,120,30.6978,41.9648,36.522,-5.44279,NA,1,-1.45832,-1.402,-1.49399,-1.49004,0.0681063,0.599668,1,"EObs",0,"d.True model
 Turnover PD"
NA,2,0,0,95.8316,93.723,93.322,-0.400959,NA,1,-0.107431,-0.442919,-0.444302,-0.383975,0.350498,0.350498,1,"EObs",0,"d.True model
 Turnover PD"
NA,2,0.5,0.5,0,0,0.50105,0.50105,NA,7.32867,0.363433,0.363433,0.363433,0.339518,0.63289,0.626246,1,"CObs",0,"d.True model
 Turnover PD"
NA,2,2,2,6.23448,3.77089,3.841,0.0701093,NA,5.0408,0.0421751,-0.600817,-0.625243,-0.494062,0.310631,0.350498,1,"CObs",0,"d.True model
 Turnover PD"
NA,2,3,3,8.9098,6.25841,5.8892,-0.369207,NA,3.25693,-0.178527,-0.452649,-0.500497,-0.209719,0.416944,0.274086,1,"CObs",0,"d.True model
 Turnover PD"
NA,2,6,6,11.476,9.2911,9.9682,0.677102,NA,1.95153,0.253438,-0.160324,-0.104838,-0.0166561,0.493355,0.436877,1,"CObs",0,"d.True model
 Turnover PD"
NA,2,12,12,11.0497,9.6989,9.4978,-0.2011,NA,1.83101,-0.0729103,-0.391722,-0.441275,-0.26972,0.393688,0.347176,1,"CObs",0,"d.True model
 Turnover PD"
NA,2,24,24,9.07805,8.51726,8.8806,0.36334,NA,2.21043,0.144738,0.0207296,-0.0421877,-0.116853,0.453488,0.423588,1,"CObs",0,"d.True model
 Turnover PD"
NA,2,24,24,35.7396,33.7206,28.706,-5.01455,NA,1,-1.34358,-1.21076,-1.24039,-1.27402,0.101329,0.0980066,1,"EObs",0,"d.True model
 Turnover PD"
NA,2,36,36,7.43922,7.41958,6.0008,-1.41878,NA,2.65809,-0.61977,-0.544314,-0.639033,-0.47533,0.317276,0.274086,1,"CObs",0,"d.True model
 Turnover PD"
NA,2,36,36,24.6663,22.5715,24.456,1.88445,NA,1,0.504913,0.742508,0.756613,0.874107,0.80897,0.4701,1,"EObs",0,"d.True model
 Turnover PD"
NA,2,48,48,6.09622,6.4631,6.4125,-0.0506024,NA,3.14091,-0.0240287,0.288563,0.165424,0.278367,0.609635,0.563123,1,"CObs",0,"d.True model
 Turnover PD"
NA,2,48,48,19.803,17.483,19.092,1.60904,NA,1,0.431121,0.263001,0.322769,0.184246,0.57309,0.406977,1,"EObs",0,"d.True model
 Turnover PD"
NA,2,72,72,4.0938,4.90415,5.5148,0.610645,NA,4.14596,0.333145,0.807867,0.695101,0.861969,0.805648,0.722591,1,"CObs",0,"d.True model
 Turnover PD"
NA,2,72,72,19.0393,15.4334,18.5,3.0666,NA,1,0.821654,0.16648,0.260468,0.0917328,0.536545,0.473422,1,"EObs",0,"d.True model
 Turnover PD"
NA,2,96,96,2.74912,3.72124,3.7878,0.0665637,NA,5.08231,0.0402067,0.483356,0.447111,0.52249,0.699336,0.679402,1,"CObs",0,"d.True model
 Turnover PD"
NA,2,96,96,23.6221,17.6363,21.073,3.43669,NA,1,0.920813,-0.14853,-0.0715508,-0.218239,0.413621,0.383721,1,"EObs",0,"d.True model
 Turnover PD"
NA,2,120,120,1.84612,2.82365,2.6801,-0.143547,NA,5.84197,-0.0929617,0.294078,0.294482,0.26972,0.606312,0.679402,1,"CObs",0,"d.True model
 Turnover PD"
NA,2,120,120,30.6978,21.4701,18.676,-2.79406,NA,1,-0.748629,-1.51273,-1.60273,-1.49004,0.0681063,0.127907,1,"EObs",0,"d.True model
 Turnover PD"
NA,2,144,144,39.2038,26.2277,23.614,-2.61373,NA,1,-0.700312,-0.771624,-1.01205,-1.13634,0.127907,0.11794,1,"EObs",0,"d.True model
 Turnover PD"
NA,3,0,0,95.8316,92.7104,91.519,-1.19136,NA,1,-0.319207,-0.761133,-0.766086,-0.703527,0.240864,0.240864,1,"EObs",0,"d.True model
 Turnover PD"
NA,3,3,3,8.92295,6.01232,6.1891,0.17678,NA,3.40268,0.0873725,-0.661784,-0.755739,-0.420092,0.337209,0.327243,1,"CObs",0,"d.True model
 Turnover PD"
NA,3,6,6,11.513,9.93135,9.4881,-0.443246,NA,1.76672,-0.157855,-0.3535,-0.378143,-0.0917328,0.463455,0.387043,1,"CObs",0,"d.True model
 Turnover PD"
NA,3,9,9,11.5571,11.551,11.555,0.00402983,NA,1.39362,0.00127465,0.150952,0.0938579,0.438354,0.669435,0.579734,1,"CObs",0,"d.True model
 Turnover PD"
NA,3,24,24,9.22662,10.7946,11.549,0.754447,NA,1.55294,0.251905,0.852074,0.757883,0.949842,0.828904,0.815615,1,"CObs",0,"d.True model
 Turnover PD"
NA,3,24,24,35.6802,31.9388,26.794,-5.1448,NA,1,-1.37848,-1.40531,-1.4357,-1.44129,0.0747508,0.0681063,1,"EObs",0,"d.True model
 Turnover PD"
NA,3,36,36,7.62816,8.95496,8.7235,-0.231458,NA,2.05885,-0.0889846,0.278413,0.271397,0.295723,0.616279,0.686047,1,"CObs",0,"d.True model
 Turnover PD"
NA,3,36,36,24.5316,20.6132,22.364,1.75081,NA,1,0.469104,0.650859,0.601488,0.735896,0.769103,0.350498,1,"EObs",0,"d.True model
 Turnover PD"
NA,3,48,48,6.3066,7.38858,8.0335,0.644925,NA,2.67229,0.282476,0.544711,0.50957,0.53206,0.702658,0.725914,1,"CObs",0,"d.True model
 Turnover PD"
NA,3,48,48,19.5631,15.5109,17.66,2.14915,NA,1,0.575834,0.438253,0.418524,0.438354,0.669435,0.333887,1,"EObs",0,"d.True model
 Turnover PD"
NA,3,72,72,4.31069,5.02568,4.8549,-0.170782,NA,4.05755,-0.0921733,-0.0536374,-0.0435396,-0.0917328,0.463455,0.569767,1,"CObs",0,"d.True model
 Turnover PD"
NA,3,72,72,18.4944,13.8905,18.319,4.42847,NA,1,1.18655,0.575032,0.596913,0.484675,0.686047,0.5,1,"EObs",0,"d.True model
 Turnover PD"
NA,3,96,96,2.94644,3.41833,3.7725,0.354165,NA,5.33783,0.21924,0.231716,0.226322,0.339518,0.63289,0.636213,1,"CObs",0,"d.True model
 Turnover PD"
NA,3,96,96,22.6452,17.1207,16.87,-0.250711,NA,1,-0.0671746,-0.667423,-0.681949,-1.13634,0.127907,0.250831,1,"EObs",0,"d.True model
 Turnover PD"
NA,3,120,120,2.01395,2.32506,1.639,-0.686059,NA,6.2502,-0.459557,-0.606829,-0.592725,-0.746858,0.227575,0.387043,1,"CObs",0,"d.True model
 Turnover PD"
NA,3,120,120,29.1891,22.6026,20.346,-2.25658,NA,1,-0.604618,-0.664609,-0.73723,-0.780297,0.217608,0.207641,1,"EObs",0,"d.True model
 Turnover PD"
NA,3,144,144,37.135,29.5892,28.442,-1.14719,NA,1,-0.307372,0.13386,0.073032,0.0750193,0.5299,0.303987,1,"EObs",0,"d.True model
 Turnover PD"
NA,4,0,0,95.8316,102.486,105.56,3.07448,NA,1,0.823764,1.71698,1.68947,1.57059,0.94186,0.94186,1,"EObs",0,"d.True model
 Turnover PD"
NA,4,3,3,8.88765,10.8369,10.988,0.151074,NA,1.54337,0.0502872,0.510981,0.478999,0.936847,0.825581,0.80897,1,"CObs",0,"d.True model
 Turnover PD"
NA,4,6,6,11.3865,13.3963,13.141,-0.255261,NA,1.08926,-0.0713808,0.337026,0.327887,0.357216,0.639535,0.765781,1,"CObs",0,"d.True model
 Turnover PD"
NA,4,9,9,11.336,13.0759,13.227,0.151058,NA,1.13492,0.043118,0.444789,0.413179,0.494062,0.689369,0.785714,1,"CObs",0,"d.True model
 Turnover PD"
NA,4,12,12,10.8235,12.2915,13.235,0.943546,NA,1.25873,0.283636,0.609475,0.550467,0.714233,0.762458,0.782392,1,"CObs",0,"d.True model
 Turnover PD"
NA,4,24,24,8.65461,9.28781,8.4785,-0.809314,NA,1.95254,-0.303003,-0.234961,-0.251398,-0.158892,0.436877,0.4701,1,"CObs",0,"d.True model
 Turnover PD"
NA,4,24,24,35.9124,42.3677,43.328,0.960254,NA,1,0.257287,0.996779,1.20798,1.1687,0.878738,0.908638,1,"EObs",0,"d.True model
 Turnover PD"
NA,4,36,36,6.90227,7.00372,7.2411,0.237375,NA,2.85643,0.107492,0.0745204,0.0823492,-0.184246,0.42691,0.563123,1,"CObs",0,"d.True model
 Turnover PD"
NA,4,36,36,25.0742,34.3468,27.789,-6.55776,NA,1,-1.75706,-0.319035,-0.233185,-0.339518,0.36711,0.63289,1,"EObs",0,"d.True model
 Turnover PD"
NA,4,48,48,5.50471,5.28133,5.6057,0.324369,NA,3.87701,0.171127,-0.0157092,-0.0217518,-0.184246,0.42691,0.549834,1,"CObs",0,"d.True model
 Turnover PD"
NA,4,48,48,20.5466,33.2429,36.325,3.08209,NA,1,0.825804,2.705,2.46639,2.57698,0.995017,0.991694,1,"EObs",0,"d.True model
 Turnover PD"
NA,4,72,72,3.50122,3.00312,3.5385,0.535384,NA,5.69056,0.342195,0.260291,0.365204,0.580672,0.719269,0.5299,1,"CObs",0,"d.True model
 Turnover PD"
NA,4,72,72,20.7719,40.76,44.141,3.38102,NA,1,0.905897,2.4102,1.62042,2.09081,0.981728,0.991694,1,"EObs",0,"d.True model
 Turnover PD"
NA,4,96,96,2.22691,1.70766,1.3805,-0.327158,NA,6.70462,-0.226973,0.0500505,0.0321394,-0.108472,0.456811,0.280731,1,"CObs",0,"d.True model
 Turnover PD"
NA,4,96,96,26.7549,53.3358,52,-1.3358,NA,1,-0.357908,0.131771,-0.294719,0.466027,0.679402,0.988372,1,"EObs",0,"d.True model
 Turnover PD"
NA,4,120,120,1.41641,0.971023,0.98574,0.0147171,NA,7.11455,0.0105178,0.241809,0.143973,-0.313168,0.377076,0.330565,1,"CObs",0,"d.True model
 Turnover PD"
NA,4,120,120,35.5011,66.4911,71.33,4.83886,NA,1,1.2965,0.670672,0.977488,0.874107,0.80897,0.991694,1,"EObs",0,"d.True model
 Turnover PD"
NA,4,144,144,45.639,77.9009,75.991,-1.90992,NA,1,-0.511737,-1.86047,-0.979769,-1.1206,0.131229,0.968439,1,"EObs",0,"d.True model
 Turnover PD"
