"Scenario","Strat1","Strat2","Strat3","t","DV","ObsName","ModelName","PRED"
NA,0,0,0,24,43.9877,"EObs","d.True model
 Turnover PD",1.44878
NA,0,0,0,36,28.1815,"EObs","d.True model
 Turnover PD",6.23448
NA,0,0,0,48,25.2693,"EObs","d.True model
 Turnover PD",8.9098
NA,0,0,0,72,34.6484,"EObs","d.True model
 Turnover PD",11.476
NA,0,0,0,96,42.6941,"EObs","d.True model
 Turnover PD",11.4966
NA,0,0,0,120,57.7486,"EObs","d.True model
 Turnover PD",11.0497
NA,0,0,0,144,74.163,"EObs","d.True model
 Turnover PD",9.07805
NA,0,0,0,0,101.54,"EObs","d.True model
 Turnover PD",35.7396
NA,0,0,0,24,28.2106,"EObs","d.True model
 Turnover PD",7.43922
NA,0,0,0,36,25.5776,"EObs","d.True model
 Turnover PD",24.6663
NA,0,0,0,48,26.0583,"EObs","d.True model
 Turnover PD",6.09622
NA,0,0,0,72,23.7906,"EObs","d.True model
 Turnover PD",19.803
NA,0,0,0,96,32.4063,"EObs","d.True model
 Turnover PD",4.0938
NA,0,0,0,120,36.024,"EObs","d.True model
 Turnover PD",19.0393
NA,0,0,0,0,93.322,"EObs","d.True model
 Turnover PD",23.6221
NA,0,0,0,24,28.6843,"EObs","d.True model
 Turnover PD",30.6978
NA,0,0,0,36,24.3984,"EObs","d.True model
 Turnover PD",39.2038
NA,0,0,0,48,18.9945,"EObs","d.True model
 Turnover PD",95.8316
NA,0,0,0,72,18.3508,"EObs","d.True model
 Turnover PD",9.07805
NA,0,0,0,96,20.8296,"EObs","d.True model
 Turnover PD",35.7397
NA,0,0,0,120,18.4213,"EObs","d.True model
 Turnover PD",7.43922
NA,0,0,0,144,23.614,"EObs","d.True model
 Turnover PD",24.6663
NA,0,0,0,0,91.519,"EObs","d.True model
 Turnover PD",6.09622
NA,0,0,0,24,26.8184,"EObs","d.True model
 Turnover PD",19.803
NA,0,0,0,36,22.4338,"EObs","d.True model
 Turnover PD",4.0938
NA,0,0,0,48,17.7853,"EObs","d.True model
 Turnover PD",19.0393
NA,0,0,0,72,18.7067,"EObs","d.True model
 Turnover PD",2.74912
NA,0,0,0,96,17.3945,"EObs","d.True model
 Turnover PD",23.6221
NA,0,0,0,120,21.1058,"EObs","d.True model
 Turnover PD",1.84612
NA,0,0,0,144,30.0265,"EObs","d.True model
 Turnover PD",30.6978
NA,0,0,0,0,105.56,"EObs","d.True model
 Turnover PD",95.8316
NA,0,0,0,24,43.087,"EObs","d.True model
 Turnover PD",0
NA,0,0,0,36,27.2725,"EObs","d.True model
 Turnover PD",6.23448
NA,0,0,0,48,34.8315,"EObs","d.True model
 Turnover PD",8.9098
NA,0,0,0,72,40.133,"EObs","d.True model
 Turnover PD",11.476
NA,0,0,0,96,45.3809,"EObs","d.True model
 Turnover PD",11.0497
NA,0,0,0,120,60.8378,"EObs","d.True model
 Turnover PD",9.07805
NA,0,0,0,144,65.2761,"EObs","d.True model
 Turnover PD",35.7396
NA,0,0,0,0,90.151,"EObs","d.True model
 Turnover PD",7.43922
NA,0,0,0,24,37.2485,"EObs","d.True model
 Turnover PD",24.6663
NA,0,0,0,36,27.6533,"EObs","d.True model
 Turnover PD",6.09622
NA,0,0,0,48,18.7765,"EObs","d.True model
 Turnover PD",19.803
NA,0,0,0,72,28.9368,"EObs","d.True model
 Turnover PD",4.0938
NA,0,0,0,96,30.8282,"EObs","d.True model
 Turnover PD",19.0393
NA,0,0,0,120,45.2574,"EObs","d.True model
 Turnover PD",2.74912
NA,0,0,0,144,57.5076,"EObs","d.True model
 Turnover PD",23.6221
NA,0,0,0,24,30.2578,"EObs","d.True model
 Turnover PD",1.84612
NA,0,0,0,36,22.2204,"EObs","d.True model
 Turnover PD",30.6978
NA,0,0,0,48,20.2859,"EObs","d.True model
 Turnover PD",39.2038
NA,0,0,0,72,13.9263,"EObs","d.True model
 Turnover PD",95.8316
NA,0,0,0,96,14.8613,"EObs","d.True model
 Turnover PD",8.92295
NA,0,0,0,120,24.3364,"EObs","d.True model
 Turnover PD",11.513
NA,0,0,0,144,29.5144,"EObs","d.True model
 Turnover PD",11.5571
NA,0,0,0,0,106.72,"EObs","d.True model
 Turnover PD",9.22662
NA,0,0,0,24,35.7995,"EObs","d.True model
 Turnover PD",35.6802
NA,0,0,0,36,27.3375,"EObs","d.True model
 Turnover PD",7.62816
NA,0,0,0,48,29.5881,"EObs","d.True model
 Turnover PD",24.5316
NA,0,0,0,72,28.984,"EObs","d.True model
 Turnover PD",6.3066
NA,0,0,0,96,37.6673,"EObs","d.True model
 Turnover PD",19.5631
NA,0,0,0,120,48.5627,"EObs","d.True model
 Turnover PD",4.31069
NA,0,0,0,144,63.97,"EObs","d.True model
 Turnover PD",18.4944
NA,0,0,0,0,92.508,"EObs","d.True model
 Turnover PD",2.94644
NA,0,0,0,24,40.2572,"EObs","d.True model
 Turnover PD",22.6452
NA,0,0,0,36,22.6357,"EObs","d.True model
 Turnover PD",2.01395
NA,0,0,0,48,21.1629,"EObs","d.True model
 Turnover PD",29.1891
NA,0,0,0,72,24.6683,"EObs","d.True model
 Turnover PD",37.135
NA,0,0,0,96,24.877,"EObs","d.True model
 Turnover PD",95.8316
NA,0,0,0,120,36.4682,"EObs","d.True model
 Turnover PD",8.88765
NA,0,0,0,144,42.8514,"EObs","d.True model
 Turnover PD",11.3865
NA,0,0,0,0,104.51,"EObs","d.True model
 Turnover PD",11.336
NA,0,0,0,24,40.7062,"EObs","d.True model
 Turnover PD",10.8235
NA,0,0,0,36,29.24,"EObs","d.True model
 Turnover PD",8.65461
NA,0,0,0,48,19.7477,"EObs","d.True model
 Turnover PD",35.9124
NA,0,0,0,72,28.87,"EObs","d.True model
 Turnover PD",6.90227
NA,0,0,0,96,27.679,"EObs","d.True model
 Turnover PD",25.0742
NA,0,0,0,120,46.928,"EObs","d.True model
 Turnover PD",5.50471
NA,0,0,0,144,43.6293,"EObs","d.True model
 Turnover PD",20.5466
NA,0,0,0,0,96.307,"EObs","d.True model
 Turnover PD",3.50122
NA,0,0,0,24,36.0362,"EObs","d.True model
 Turnover PD",20.7719
NA,0,0,0,36,20.6597,"EObs","d.True model
 Turnover PD",2.22691
NA,0,0,0,48,18.2974,"EObs","d.True model
 Turnover PD",26.7549
NA,0,0,0,72,17.8164,"EObs","d.True model
 Turnover PD",1.41641
NA,0,0,0,96,15.303,"EObs","d.True model
 Turnover PD",35.5011
NA,0,0,0,120,12.1832,"EObs","d.True model
 Turnover PD",45.639
NA,0,0,0,144,21.8664,"EObs","d.True model
 Turnover PD",95.8316
NA,0,0,0,0,89.879,"EObs","d.True model
 Turnover PD",11.5078
NA,0,0,0,24,32.2642,"EObs","d.True model
 Turnover PD",11.1116
NA,0,0,0,36,28.4895,"EObs","d.True model
 Turnover PD",9.18319
NA,0,0,0,48,20.5756,"EObs","d.True model
 Turnover PD",35.6958
NA,0,0,0,0,100.91,"EObs","d.True model
 Turnover PD",7.57026
NA,0,0,0,24,40.378,"EObs","d.True model
 Turnover PD",24.5706
NA,0,0,0,36,36.633,"EObs","d.True model
 Turnover PD",6.2406
NA,0,0,0,48,27.0144,"EObs","d.True model
 Turnover PD",19.6352
NA,0,0,0,72,20.7655,"EObs","d.True model
 Turnover PD",4.24089
NA,0,0,0,96,27.2697,"EObs","d.True model
 Turnover PD",18.6634
NA,0,0,0,120,28.0732,"EObs","d.True model
 Turnover PD",2.88196
NA,0,0,0,144,36.3926,"EObs","d.True model
 Turnover PD",22.9522
NA,0,0,0,0,88.483,"EObs","d.True model
 Turnover PD",1.95848
NA,0,0,0,24,35.0327,"EObs","d.True model
 Turnover PD",29.6674
NA,0,0,0,36,25.5064,"EObs","d.True model
 Turnover PD",37.7963
NA,0,0,0,48,12.9926,"EObs","d.True model
 Turnover PD",8.90902
NA,0,0,0,72,22.9536,"EObs","d.True model
 Turnover PD",11.4629
NA,0,0,0,96,25.9963,"EObs","d.True model
 Turnover PD",11.4694
NA,0,0,0,120,25.5456,"EObs","d.True model
 Turnover PD",11.0093
NA,0,0,0,144,31.938,"EObs","d.True model
 Turnover PD",8.99676
NA,0,0,0,0,89.148,"EObs","d.True model
 Turnover PD",35.7707
NA,0,0,0,24,42.1439,"EObs","d.True model
 Turnover PD",7.33335
NA,0,0,0,36,29.6207,"EObs","d.True model
 Turnover PD",24.7418
NA,0,0,0,48,22.1505,"EObs","d.True model
 Turnover PD",5.97746
NA,0,0,0,72,19.4438,"EObs","d.True model
 Turnover PD",19.9418
