grp,x,cens,y,cov,ty,PRED,ModelName,PPRED,PWRES
2,24,0,1.155220847,1,1.155220847,35.7396,"d.True model
 Turnover PD",36.4039318,1.185014068
3,36,0,0.459326111,1,0.459326111,24.6663,"d.True model
 Turnover PD",25.46087864,-0.362955695
4,48,0,0.799500943,1,0.799500943,19.803,"d.True model
 Turnover PD",20.5463899,0.279804218
5,72,0,1.750686071,1,1.750686071,19.0393,"d.True model
 Turnover PD",20.32559333,1.820888371
6,96,0,1.563223647,1,1.563223647,23.6221,"d.True model
 Turnover PD",25.48374392,0.542152622
7,120,0,1.786613365,1,1.786613365,30.6978,"d.True model
 Turnover PD",32.81888434,0.723277355
8,144,0,1.911035648,1,1.911035648,39.2038,"d.True model
 Turnover PD",41.58198135,0.918785881
1,0,0,1.002711665,1,1.002711665,95.8316,"d.True model
 Turnover PD",95.9462195,0.973298933
2,24,0,-1.334622287,1,-1.334622287,35.7397,"d.True model
 Turnover PD",36.5804555,-1.540737015
3,36,0,0.042625585,1,0.042625585,24.6663,"d.True model
 Turnover PD",25.41052143,1.033623286
4,48,0,0.923013826,1,0.923013826,19.803,"d.True model
 Turnover PD",20.69700528,1.676123378
5,72,0,0.600759774,1,0.600759774,19.0393,"d.True model
 Turnover PD",20.23600588,0.042932579
6,96,0,0.859617364,1,0.859617364,23.6221,"d.True model
 Turnover PD",25.09757648,0.247737684
7,120,0,0.423404722,1,0.423404722,30.6978,"d.True model
 Turnover PD",32.56206715,-1.051882144
1,0,0,-0.377233617,1,-0.377233617,95.8316,"d.True model
 Turnover PD",95.4630268,-0.382976053
2,24,0,-1.334622287,1,-1.334622287,35.7396,"d.True model
 Turnover PD",36.6370516,-1.269821356
3,36,0,-0.125661347,1,-0.125661347,24.6663,"d.True model
 Turnover PD",25.47879325,0.677845601
4,48,0,-0.237846695,1,-0.237846695,19.803,"d.True model
 Turnover PD",20.92744517,0.110543089
5,72,0,-0.209574223,1,-0.209574223,19.0393,"d.True model
 Turnover PD",20.25421385,-0.121177795
6,96,0,-0.355787114,1,-0.355787114,23.6221,"d.True model
 Turnover PD",25.61761402,-0.434045549
7,120,0,-1.200358858,1,-1.200358858,30.6978,"d.True model
 Turnover PD",32.90435347,-1.726066779
8,144,0,-1.25908398,1,-1.25908398,39.2038,"d.True model
 Turnover PD",41.33579146,-0.759335036
1,0,0,-0.735557557,1,-0.735557557,95.8316,"d.True model
 Turnover PD",95.9573303,-0.768956803
2,24,0,-1.589267557,1,-1.589267557,35.6802,"d.True model
 Turnover PD",36.5288462,-1.433966183
3,36,0,-0.493017814,1,-0.493017814,24.5316,"d.True model
 Turnover PD",25.47711914,0.498023843
4,48,0,-0.467698799,1,-0.467698799,19.5631,"d.True model
 Turnover PD",20.51088609,0.248643802
5,72,0,-0.110516204,1,-0.110516204,18.4944,"d.True model
 Turnover PD",19.85697719,0.259445719
6,96,0,-0.729002718,1,-0.729002718,22.6452,"d.True model
 Turnover PD",24.20556888,-0.895130177
7,120,0,-0.874217165,1,-0.874217165,29.1891,"d.True model
 Turnover PD",31.07233448,-0.774459296
