Time	 Low_CI	 Median_CI	 Up_CI	Time_NPDE	 Low_CI_NPDE	 Median_CI_NPDE	 Up_CI_NPDE	Split	
0.25	-2.0799	-0.25736	1.2098	0.25	-2.0799	-0.25736	1.2098	1
0.5	-2.0799	-0.25736	1.2098	0.5	-2.0799	-0.25736	1.2098	1
1	-2.0799	-0.25736	1.2098	1	-2.0799	-0.25736	1.2098	1
4	-2.0799	-0.25736	1.2098	4	-2.0799	-0.25736	1.2098	1
12	-2.0799	-0.25736	1.2098	12	-2.0799	-0.25736	1.2098	1
24	-2.0799	-0.25736	1.2098	24	-2.0799	-0.25736	1.2098	1
30	-2.0799	-0.25736	1.2098	30	-2.0799	-0.25736	1.2098	1
30	-1.2098	0.25736	2.0799	30	-1.2098	0.25736	2.0799	1
24	-1.2098	0.25736	2.0799	24	-1.2098	0.25736	2.0799	1
12	-1.2098	0.25736	2.0799	12	-1.2098	0.25736	2.0799	1
4	-1.2098	0.25736	2.0799	4	-1.2098	0.25736	2.0799	1
1	-1.2098	0.25736	2.0799	1	-1.2098	0.25736	2.0799	1
0.5	-1.2098	0.25736	2.0799	0.5	-1.2098	0.25736	2.0799	1
0.25	-1.2098	0.25736	2.0799	0.25	-1.2098	0.25736	2.0799	1
0.25	-2.0748	-0.25346	1.2149	0.25	-2.0748	-0.25346	1.2149	2
0.5	-2.0748	-0.25346	1.2149	0.5	-2.0748	-0.25346	1.2149	2
1	-2.0748	-0.25346	1.2149	1	-2.0748	-0.25346	1.2149	2
4	-2.0748	-0.25346	1.2149	4	-2.0748	-0.25346	1.2149	2
12	-2.0748	-0.25346	1.2149	12	-2.0748	-0.25346	1.2149	2
24	-2.0748	-0.25346	1.2149	24	-2.0748	-0.25346	1.2149	2
30	-2.0748	-0.25346	1.2149	30	-2.0748	-0.25346	1.2149	2
30	-1.2149	0.25346	2.0748	30	-1.2149	0.25346	2.0748	2
24	-1.2149	0.25346	2.0748	24	-1.2149	0.25346	2.0748	2
12	-1.2149	0.25346	2.0748	12	-1.2149	0.25346	2.0748	2
4	-1.2149	0.25346	2.0748	4	-1.2149	0.25346	2.0748	2
1	-1.2149	0.25346	2.0748	1	-1.2149	0.25346	2.0748	2
0.5	-1.2149	0.25346	2.0748	0.5	-1.2149	0.25346	2.0748	2
0.25	-1.2149	0.25346	2.0748	0.25	-1.2149	0.25346	2.0748	2
