NPDE_Time	 Low_NPDE_Empirical	 Median_NPDE_Empirical	 Up_NPDE_Empirical	 Low_NPDE_Theo	 Median_NPDE_Theo	 Up_NPDE_Theo	Split	
0.5	-1.6605	0.064278	1.8841	-1.6449	0	1.6449	1
1	-1.4056	0.33198	1.8347	-1.6449	0	1.6449	1
4	-1.1658	0.60051	1.9906	-1.6449	0	1.6449	1
12	-1.1064	0.43381	2.2728	-1.6449	0	1.6449	1
24	-0.74649	0.41597	2.1687	-1.6449	0	1.6449	1
0.5	-1.9735	-0.25691	1.5235	-1.6449	0	1.6449	2
1	-1.7674	-0.092156	1.0396	-1.6449	0	1.6449	2
4	-1.962	-0.43743	0.85953	-1.6449	0	1.6449	2
12	-1.7702	-0.3418	1.0471	-1.6449	0	1.6449	2
24	-2.0783	-0.38344	0.88803	-1.6449	0	1.6449	2
