Time	 Low_CI	 Median_CI	 Up_CI	Time_NPDE	 Low_CI_NPDE	 Median_CI_NPDE	 Up_CI_NPDE	Split	
0.25	-2.0745	-0.25757	1.2152	0.25	-2.0745	-0.25757	1.2152	1
0.5	-2.0745	-0.25757	1.2152	0.5	-2.0745	-0.25757	1.2152	1
1	-2.0745	-0.25757	1.2152	1	-2.0745	-0.25757	1.2152	1
4	-2.0745	-0.25757	1.2152	4	-2.0745	-0.25757	1.2152	1
12	-2.0745	-0.25757	1.2152	12	-2.0745	-0.25757	1.2152	1
24	-2.0745	-0.25757	1.2152	24	-2.0745	-0.25757	1.2152	1
30	-2.0745	-0.25757	1.2152	30	-2.0745	-0.25757	1.2152	1
30	-1.2152	0.25757	2.0745	30	-1.2152	0.25757	2.0745	1
24	-1.2152	0.25757	2.0745	24	-1.2152	0.25757	2.0745	1
12	-1.2152	0.25757	2.0745	12	-1.2152	0.25757	2.0745	1
4	-1.2152	0.25757	2.0745	4	-1.2152	0.25757	2.0745	1
1	-1.2152	0.25757	2.0745	1	-1.2152	0.25757	2.0745	1
0.5	-1.2152	0.25757	2.0745	0.5	-1.2152	0.25757	2.0745	1
0.25	-1.2152	0.25757	2.0745	0.25	-1.2152	0.25757	2.0745	1
0.25	-2.0789	-0.25906	1.2108	0.25	-2.0789	-0.25906	1.2108	2
0.5	-2.0789	-0.25906	1.2108	0.5	-2.0789	-0.25906	1.2108	2
1	-2.0789	-0.25906	1.2108	1	-2.0789	-0.25906	1.2108	2
4	-2.0789	-0.25906	1.2108	4	-2.0789	-0.25906	1.2108	2
12	-2.0789	-0.25906	1.2108	12	-2.0789	-0.25906	1.2108	2
24	-2.0789	-0.25906	1.2108	24	-2.0789	-0.25906	1.2108	2
30	-2.0789	-0.25906	1.2108	30	-2.0789	-0.25906	1.2108	2
30	-1.2108	0.25906	2.0789	30	-1.2108	0.25906	2.0789	2
24	-1.2108	0.25906	2.0789	24	-1.2108	0.25906	2.0789	2
12	-1.2108	0.25906	2.0789	12	-1.2108	0.25906	2.0789	2
4	-1.2108	0.25906	2.0789	4	-1.2108	0.25906	2.0789	2
1	-1.2108	0.25906	2.0789	1	-1.2108	0.25906	2.0789	2
0.5	-1.2108	0.25906	2.0789	0.5	-1.2108	0.25906	2.0789	2
0.25	-1.2108	0.25906	2.0789	0.25	-1.2108	0.25906	2.0789	2
