NPDE_Time	 Low_NPDE_Empirical	 Median_NPDE_Empirical	 Up_NPDE_Empirical	 Low_NPDE_Theo	 Median_NPDE_Theo	 Up_NPDE_Theo	Split	
0.5	-1.6372	0.0016645	1.4797	-1.6449	0	1.6449	1
1	-1.5671	0.18949	1.5074	-1.6449	0	1.6449	1
4	-1.7266	0.21816	1.6656	-1.6449	0	1.6449	1
12	-1.7186	-0.043894	1.7166	-1.6449	0	1.6449	1
24	-1.2707	-0.013158	1.9237	-1.6449	0	1.6449	1
0.5	-1.8196	-0.11416	1.6875	-1.6449	0	1.6449	2
1	-1.5993	0.086094	1.4232	-1.6449	0	1.6449	2
4	-1.9663	0.036787	1.4669	-1.6449	0	1.6449	2
12	-1.5347	0.17727	1.7774	-1.6449	0	1.6449	2
24	-1.8679	0.12244	1.7582	-1.6449	0	1.6449	2
