Time	Pred_PWRES	PWRES	Pred_IWRES_Mode	IWRES_Mode	Pred_NPDE	NPDE	
0.5	14.693	-0.67851	10.643	0.27894	14.693	-0.55395
1	11.401	-1.0489	7.7338	-0.58366	11.401	-1.0542
4	3.1739	-1.0242	1.6821	-0.25916	3.1739	-1.108
12	0.93251	-0.46413	0.44895	0.81591	0.93251	-0.36006
24	0.44338	-1.6474	0.14132	-1.6032	0.44338	-1.9968
0.5	21.645	-1.4625	11.518	-0.86384	21.645	-2.1237
1	13.667	-0.52697	9.4273	0.33873	13.667	-0.47871
4	1.9612	0.90488	3.1356	0.6702	1.9612	0.97413
12	0.83888	-0.55815	0.65059	-0.4709	0.83888	-0.44542
24	0.39289	-0.011716	0.30115	0.34796	0.39289	0.15404
0.5	14.574	3.1997	31.893	0.80891	14.574	2.3414
1	11.34	3.2237	24.906	-0.13241	11.34	2.1537
4	3.194	3.4279	7.49	0.74174	3.194	2.5209
12	0.9353	1.8715	3.0199	-0.51095	0.9353	1.7775
24	0.44463	4.1007	2.065	1.1242	0.44463	2.3595
0.5	14.342	-0.23322	14.038	-0.28223	14.342	-0.086586
1	11.218	0.38306	11.476	0.59379	11.218	0.46494
4	3.2324	0.64433	3.978	0.40356	3.2324	0.69042
12	0.94093	0.13434	1.08	0.34497	0.94093	0.30799
24	0.44712	-0.35113	0.51644	-0.57291	0.44712	-0.26058
0.5	19.373	-1.1741	11.426	-0.88945	19.373	-1.4163
1	15.075	-0.67395	9.941	0.54441	15.075	-0.61373
4	4.5486	0.21715	4.8034	0.36919	4.5486	0.35183
12	1.7475	0.039122	1.7053	0.49675	1.7475	0.20485
24	0.99325	-0.42276	0.86407	-0.39232	0.99325	-0.31561
0.5	16.234	4.0932	37.114	1.7929	16.234	2.5639
1	13.295	1.2051	24.387	-1.3178	13.295	1.1706
4	4.9388	-1.0379	2.6914	0.39326	4.9388	-1.063
12	1.8183	-1.4124	0.79246	-0.93974	1.8183	-1.6829
24	1.0336	-0.88788	0.57739	-0.39394	1.0336	-0.95185
0.5	15.248	1.0313	22.673	0.040185	15.248	1.112
1	12.675	1.7157	18.929	0.74165	12.675	1.4981
4	5.0242	1.6631	7.1286	0.50191	5.0242	1.5941
12	1.8481	0.37513	1.9434	0.69722	1.8481	0.52791
24	1.0489	-0.58849	1.1737	-1.2552	1.0489	-0.42252
0.5	14.229	-0.83998	9.6015	-0.072966	14.229	-0.89807
1	11.159	-0.75241	8.0417	-0.057077	11.159	-0.75229
4	3.2509	0.036085	3.1309	0.40517	3.2509	0.1235
12	0.94378	-0.23316	0.81829	0.23016	0.94378	-0.11182
24	0.44837	-0.67847	0.33505	-0.54731	0.44837	-0.6321
0.5	12.011	-0.68544	8.7041	-0.035367	12.011	-0.62636
1	9.8763	-0.75665	6.9281	-0.068821	9.8763	-0.63722
4	3.5633	-1.246	2.1288	-0.81694	3.5633	-1.3529
12	1.0159	-0.65444	0.53029	0.40229	1.0159	-0.58962
24	0.47738	-0.26152	0.20281	0.64935	0.47738	-0.15203
0.5	15.458	-1.7892	5.0018	-0.92495	15.458	-2.6307
1	11.78	-1.6973	4.3983	-0.3224	11.78	-2.4888
4	3.0417	-0.4344	2.1211	0.6174	3.0417	-0.29462
12	0.91616	-1.1031	0.49502	-0.90071	0.91616	-1.2338
24	0.4358	-0.4312	0.15748	0.41458	0.4358	-0.40687
0.5	16.317	-0.12272	16.759	-0.36606	16.317	0.058928
