    ID 	     time  	         popPred  	   indPred_mean*  	    indPred_mode  	  
     1 	  -2.4000  	        0.0000   	        0.0000   	        0.0000   	  
     1 	  -2.1091  	        0.0000   	        0.0000   	        0.0000   	  
     1 	  -1.8182  	        0.0000   	        0.0000   	        0.0000   	  
     1 	  -1.5273  	        0.0000   	        0.0000   	        0.0000   	  
     1 	  -1.2364  	        0.0000   	        0.0000   	        0.0000   	  
     1 	  -0.9455  	        0.0000   	        0.0000   	        0.0000   	  
     1 	  -0.6545  	        0.0000   	        0.0000   	        0.0000   	  
     1 	  -0.3636  	        0.0000   	        0.0000   	        0.0000   	  
     1 	  -0.0727  	        0.0000   	        0.0000   	        0.0000   	  
     1 	   0.2182  	       17.0084   	       12.9952   	       12.8075   	  
     1 	   0.5091  	       14.6245   	       10.6116   	       10.5807   	  
     1 	   0.8000  	       12.6064   	        8.7026   	        8.7742   	  
     1 	   1.0909  	       10.8972   	        7.1728   	        7.3078   	  
     1 	   1.3818  	        9.4492   	        5.9458   	        6.1165   	  
     1 	   1.6727  	        8.2218   	        4.9607   	        5.1477   	  
     1 	   1.9636  	        7.1808   	        4.1689   	        4.3589   	  
     1 	   2.2545  	        6.2974   	        3.5316   	        3.7158   	  
     1 	   2.5455  	        5.5471   	        3.0177   	        3.1906   	  
     1 	   2.8364  	        4.9094   	        2.6025   	        2.7609   	  
     1 	   3.1273  	        4.3668   	        2.2663   	        2.4085   	  
     1 	   3.4182  	        3.9047   	        1.9931   	        2.1188   	  
     1 	   3.7091  	        3.5105   	        1.7705   	        1.8799   	  
     1 	   4.0000  	        3.1739   	        1.5883   	        1.6821   	  
     1 	   4.2909  	        2.8859   	        1.4384   	        1.5178   	  
     1 	   4.5818  	        2.6391   	        1.3146   	        1.3806   	  
     1 	   4.8727  	        2.4271   	        1.2116   	        1.2655   	  
     1 	   5.1636  	        2.2445   	        1.1254   	        1.1683   	  
     1 	   5.4545  	        2.0869   	        1.0526   	        1.0857   	  
     1 	   5.7455  	        1.9505   	        0.9907   	        1.0151   	  
     1 	   6.0364  	        1.8320   	        0.9376   	        0.9542   	  
     1 	   6.3273  	        1.7286   	        0.8915   	        0.9013   	  
     1 	   6.6182  	        1.6382   	        0.8511   	        0.8550   	  
     1 	   6.9091  	        1.5587   	        0.8155   	        0.8140   	  
     1 	   7.2000  	        1.4885   	        0.7836   	        0.7776   	  
     1 	   7.4909  	        1.4262   	        0.7549   	        0.7448   	  
     1 	   7.7818  	        1.3706   	        0.7288   	        0.7151   	  
     1 	   8.0727  	        1.3208   	        0.7048   	        0.6880   	  
     1 	   8.3636  	        1.2758   	        0.6826   	        0.6630   	  
     1 	   8.6545  	        1.2351   	        0.6620   	        0.6399   	  
     1 	   8.9455  	        1.1979   	        0.6425   	        0.6184   	  
     1 	   9.2364  	        1.1638   	        0.6242   	        0.5982   	  
     1 	   9.5273  	        1.1324   	        0.6068   	        0.5792   	  
     1 	   9.8182  	        1.1032   	        0.5902   	        0.5611   	  
     1 	  10.1091  	        1.0760   	        0.5744   	        0.5440   	  
     1 	  10.4000  	        1.0505   	        0.5592   	        0.5277   	  
     1 	  10.6909  	        1.0265   	        0.5445   	        0.5121   	  
     1 	  10.9818  	        1.0038   	        0.5304   	        0.4971   	  
     1 	  11.2727  	        0.9823   	        0.5168   	        0.4827   	  
     1 	  11.5636  	        0.9617   	        0.5036   	        0.4688   	  
     1 	  11.8545  	        0.9420   	        0.4908   	        0.4555   	  
     1 	  12.1455  	        0.9232   	        0.4784   	        0.4425   	  
     1 	  12.4364  	        0.9050   	        0.4663   	        0.4301   	  
     1 	  12.7273  	        0.8875   	        0.4546   	        0.4180   	  
     1 	  13.0182  	        0.8705   	        0.4432   	        0.4063   	  
     1 	  13.3091  	        0.8541   	        0.4321   	        0.3949   	  
     1 	  13.6000  	        0.8381   	        0.4213   	        0.3839   	  
     1 	  13.8909  	        0.8226   	        0.4108   	        0.3733   	  
     1 	  14.1818  	        0.8075   	        0.4006   	        0.3629   	  
     1 	  14.4727  	        0.7928   	        0.3906   	        0.3528   	  
     1 	  14.7636  	        0.7785   	        0.3809   	        0.3431   	  
     1 	  15.0545  	        0.7644   	        0.3714   	        0.3336   	  
     1 	  15.3455  	        0.7507   	        0.3622   	        0.3244   	  
     1 	  15.6364  	        0.7373   	        0.3532   	        0.3154   	  
     1 	  15.9273  	        0.7242   	        0.3444   	        0.3067   	  
     1 	  16.2182  	        0.7113   	        0.3359   	        0.2982   	  
     1 	  16.5091  	        0.6987   	        0.3275   	        0.2900   	  
     1 	  16.8000  	        0.6863   	        0.3194   	        0.2820   	  
     1 	  17.0909  	        0.6742   	        0.3115   	        0.2743   	  
     1 	  17.3818  	        0.6624   	        0.3038   	        0.2667   	  
     1 	  17.6727  	        0.6507   	        0.2962   	        0.2593   	  
     1 	  17.9636  	        0.6393   	        0.2889   	        0.2522   	  
     1 	  18.2545  	        0.6281   	        0.2817   	        0.2453   	  
     1 	  18.5455  	        0.6170   	        0.2747   	        0.2385   	  
     1 	  18.8364  	        0.6062   	        0.2679   	        0.2319   	  
     1 	  19.1273  	        0.5956   	        0.2613   	        0.2256   	  
     1 	  19.4182  	        0.5852   	        0.2548   	        0.2193   	  
     1 	  19.7091  	        0.5749   	        0.2485   	        0.2133   	  
     1 	  20.0000  	        0.5649   	        0.2423   	        0.2074   	  
     1 	  20.2909  	        0.5550   	        0.2363   	        0.2017   	  
     1 	  20.5818  	        0.5453   	        0.2305   	        0.1962   	  
     1 	  20.8727  	        0.5358   	        0.2248   	        0.1908   	  
     1 	  21.1636  	        0.5264   	        0.2192   	        0.1855   	  
     1 	  21.4545  	        0.5172   	        0.2138   	        0.1804   	  
     1 	  21.7455  	        0.5082   	        0.2085   	        0.1754   	  
